area1,area2,area3,district,floor,total_floors,building_type,year,price,rooms_count,new_build
32.0,22.6,5.4,Советский район,1,2,кирпич,1958,4700000,1.0,0
31.2,17.0,6.0,Другой,4,5,кирпич,1969,3100000,1.0,0
17.4,15.0,1.0,Автозаводский район,5,10,панель,2020,3650000,0.5,0
31.4,19.3,6.1,Ленинский район,2,5,кирпич,1961,4250000,2.0,0
55.8,42.1,5.6,Автозаводский район,1,5,кирпич,1965,5900000,3.0,0
57.7,38.8,8.8,Советский район,1,9,панель,1976,8100000,3.0,0
57.4,31.8,9.8,Другой,2,4,кирпич,1958,4250000,2.0,0
63.5,49.0,6.0,Канавинский район,1,5,кирпич,1970,5300000,3.0,0
30.3,19.0,5.5,Ленинский район,1,5,панель,1968,4100000,1.0,0
39.71,11.67,13.82,Автозаводский район,2,25,блок+утеплитель,2024,7000000,1.0,1
46.0,32.0,6.0,Ленинский район,4,5,панель,1968,5400000,2.0,0
73.4,46.0,8.0,Московский район,3,9,кирпич,1984,7400000,4.0,0
42.8,27.0,6.9,Автозаводский район,7,9,панель,1990,6000000,2.0,0
30.7,19.0,6.1,Автозаводский район,4,10,блок+утеплитель,2011,4430000,1.0,0
20.5,18.5,1.0,Автозаводский район,2,10,кирпич,2019,3850000,0.5,0
60.5,42.0,7.0,Приокский район,2,2,шлакоблок,1950,4700000,3.0,0
17.2,11.0,1.0,Автозаводский район,3,10,панель,2012,3100000,0.5,0
34.0,25.2,4.7,Автозаводский район,1,2,шлакоблок,1957,2850000,2.0,0
48.0,32.0,9.0,Автозаводский район,3,3,кирпич,1964,3100000,2.0,0
51.12,24.5,11.5,Автозаводский район,9,25,блок+утеплитель,2024,8322336,2.0,1
45.0,30.0,6.0,Автозаводский район,4,5,панель,1965,4200000,2.0,0
32.0,16.5,8.5,Сормовский район,1,10,панель,2021,4700000,1.0,0
63.0,43.0,6.0,Ленинский район,5,5,кирпич,1970,6500000,4.0,0
55.2,37.3,6.3,Автозаводский район,1,2,шлакоблок,1949,4800000,3.0,0
52.3,30.1,8.8,Канавинский район,9,9,панель,1985,5900000,2.0,0
51.0,27.8,8.6,Другой,1,5,кирпич,2023,4499000,2.0,0
27.3,17.3,6.0,Автозаводский район,4,5,кирпич,1972,3200000,2.0,0
18.1,14.0,2.5,Автозаводский район,1,5,кирпич,1972,2300000,1.0,0
59.7,42.5,7.3,Нижегородский район,1,9,панель,1977,6500000,3.0,0
40.9,16.5,9.8,Другой,10,15,блок+утеплитель,2024,6000000,1.0,1
54.0,28.0,7.0,Советский район,4,4,кирпич,1960,7600000,2.0,0
32.7,17.3,6.0,Московский район,1,5,панель,1971,3300000,1.0,0
37.4,27.7,5.0,Автозаводский район,1,3,шлакоблок,1960,3800000,2.0,0
31.0,17.0,6.0,Советский район,1,5,кирпич,1969,4700000,1.0,0
35.0,22.0,6.0,Нижегородский район,2,2,дерево,1899,2100000,2.0,0
20.5,11.1,5.5,Московский район,8,9,кирпич,1981,2850000,1.0,0
58.4,45.9,5.6,Автозаводский район,1,5,панель,1966,5350000,3.0,0
32.5,22.0,6.0,Приокский район,1,2,кирпич,1958,3150000,2.0,0
17.2,12.5,1.0,Автозаводский район,3,10,панель,2012,3100000,0.5,0
66.0,39.0,8.0,Другой,6,9,кирпич,1986,5990000,3.0,0
42.1,27.0,6.0,Канавинский район,1,3,кирпич,1962,4000000,2.0,0
52.0,30.0,9.0,Канавинский район,8,9,панель,1985,6200000,2.0,0
59.4,45.7,6.0,Советский район,2,5,панель,1968,5800000,3.0,0
53.5,31.0,8.4,Другой,3,3,блок+утеплитель,2016,4300000,2.0,0
30.7,16.4,6.4,Автозаводский район,4,5,кирпич,1970,3700000,1.0,0
31.3,17.4,5.4,Автозаводский район,1,5,кирпич,1960,4000000,1.0,0
49.43,22.91,10.7,Ленинский район,9,14,монолитный железобетон,2024,9737710,2.0,1
48.09,17.49,13.55,Ленинский район,11,14,монолитный железобетон,2024,9137100,1.0,1
33.8,20.0,6.0,Другой,4,5,кирпич,1994,3590000,1.0,0
35.0,20.0,9.0,Другой,3,5,кирпич,1991,3400000,1.0,0
44.3,29.7,5.6,Сормовский район,3,3,кирпич,1960,5399000,2.0,0
24.0,8.9,7.1,Другой,1,3,кирпич,1971,1800000,1.0,0
47.7,35.0,7.0,Канавинский район,2,2,дерево,1899,2150000,3.0,0
34.2,11.1,13.3,Другой,5,25,монолитный железобетон,2026,4343400,1.0,1
38.0,25.0,5.0,Другой,2,3,блок+утеплитель,2019,2500000,2.0,0
23.8,14.0,5.0,Другой,25,25,монолитный железобетон,2024,3950000,1.0,1
77.6,49.3,14.0,Московский район,5,5,кирпич,1958,7000000,3.0,0
45.3,18.0,10.0,Советский район,7,17,блок+утеплитель,2020,8550000,1.0,0
60.5,30.0,7.9,Нижегородский район,5,10,панель,2002,9000000,2.0,0
40.73,13.7,11.63,Нижегородский район,3,27,блок+утеплитель,2023,6999980,1.0,0
44.3,30.7,5.8,Приокский район,1,5,кирпич,1962,5070000,2.0,0
86.0,40.0,13.8,Другой,4,5,кирпич,2022,7650000,3.0,0
30.6,15.8,8.2,Московский район,6,10,панель,2016,5000000,1.0,0
46.1,27.25,8.43,Другой,3,3,блок+утеплитель,2019,4000000,2.0,0
61.0,43.7,7.2,Советский район,9,9,панель,1982,7190000,3.0,0
46.0,30.7,6.9,Автозаводский район,9,9,панель,1978,4870000,2.0,0
36.6,18.0,10.5,Автозаводский район,4,5,кирпич,1993,3430000,1.0,0
41.0,30.0,5.5,Другой,1,5,кирпич,1976,3650000,2.0,0
37.3,13.8,12.3,Другой,4,19,монолитный железобетон,2026,4960900,1.0,1
38.27,11.0,14.22,Ленинский район,3,14,монолитный железобетон,2024,7567893,1.0,1
62.4,43.6,7.0,Московский район,1,9,панель,1988,6300000,3.0,0
66.5,38.3,9.3,Нижегородский район,9,10,панель,1997,7300000,3.0,0
48.7,20.8,12.3,Другой,21,25,панель,2026,5746600,2.0,1
41.8,26.0,5.3,Приокский район,1,5,кирпич,1963,4700000,2.0,0
44.1,28.2,5.8,Советский район,4,5,кирпич,1962,5490000,2.0,0
37.8,13.2,4.3,Другой,2,24,панель,2020,5150000,1.0,0
61.0,26.0,23.9,Советский район,1,8,монолитный железобетон,2026,9345627,2.0,1
27.7,22.2,3.0,Автозаводский район,4,5,кирпич,1972,2960000,2.0,0
64.9,38.8,9.7,Нижегородский район,10,10,панель,1991,7400000,3.0,0
47.5,31.4,8.7,Канавинский район,2,17,блок+утеплитель,2012,8250000,2.0,0
69.0,47.8,8.9,Советский район,1,5,кирпич,1952,9000000,3.0,0
45.5,31.1,5.9,Канавинский район,3,5,кирпич,1970,5200000,2.0,0
52.0,29.4,9.0,Канавинский район,8,9,панель,1984,6950000,2.0,0
65.4,37.1,9.3,Канавинский район,7,9,панель,1987,9699999,3.0,0
45.1,28.7,6.9,Нижегородский район,4,9,кирпич,1970,9200000,2.0,0
31.2,18.5,5.7,Ленинский район,3,4,кирпич,1962,4450000,1.0,0
45.1,30.7,6.4,Приокский район,5,5,кирпич,1973,5300000,2.0,0
34.2,11.1,13.3,Другой,5,25,монолитный железобетон,2026,4275000,1.0,1
39.5,16.0,11.0,Канавинский район,2,12,кирпич,2015,6000000,1.0,0
34.7,18.2,8.4,Автозаводский район,2,4,кирпич,1932,4740000,1.0,0
30.0,17.0,5.0,Другой,4,5,кирпич,1973,2180000,1.0,0
58.6,37.4,7.0,Сормовский район,6,9,панель,1984,7400000,3.0,0
82.7,53.8,10.3,Другой,2,3,кирпич,1955,7500000,3.0,0
60.2,41.0,5.9,Сормовский район,3,5,кирпич,1971,5600000,3.0,0
30.2,19.0,5.5,Ленинский район,5,5,панель,1964,3850000,1.0,0
54.2,40.9,6.2,Московский район,2,5,кирпич,1960,5210000,3.0,0
50.0,33.9,5.9,Сормовский район,5,5,панель,1974,5600000,3.0,0
35.7,20.7,9.3,Нижегородский район,4,4,кирпич,1917,7700000,1.0,0
70.0,34.4,13.0,Советский район,3,18,блок+утеплитель,2020,9800000,2.0,0
59.8,42.0,6.0,Канавинский район,5,5,панель,1982,5200000,4.0,0
52.9,30.0,8.2,Другой,2,3,блок+утеплитель,2019,3200000,2.0,0
42.9,28.5,6.0,Приокский район,5,5,кирпич,1962,4900000,2.0,0
82.5,38.3,21.9,Другой,21,25,панель,2024,9487500,3.0,1
44.1,28.0,7.1,Сормовский район,9,9,панель,1985,4950000,2.0,0
45.0,31.5,6.0,Другой,1,3,кирпич,1971,3690000,2.0,0
31.0,17.0,9.0,Другой,3,3,блок+утеплитель,2019,3500000,1.0,0
84.3,38.8,22.2,Другой,22,25,монолитный железобетон,2024,8261400,3.0,1
62.6,45.0,7.5,Автозаводский район,3,9,панель,1979,8000000,3.0,0
58.2,43.0,5.8,Сормовский район,9,9,панель,1977,7500000,4.0,0
42.6,28.0,6.0,Советский район,1,5,кирпич,1966,4850000,2.0,0
52.7,29.0,10.0,Другой,3,5,панель,1991,1950000,2.0,0
44.0,21.97,14.35,Другой,1,9,блок+утеплитель,2023,4740000,2.0,0
42.7,26.6,5.9,Другой,2,2,кирпич,1971,3400000,2.0,0
34.8,8.7,13.0,Другой,5,20,панель,2017,5046000,1.0,0
57.8,13.3,11.4,Другой,24,25,панель,2024,7976400,2.0,1
56.8,36.7,9.2,Нижегородский район,1,2,кирпич,1822,9900000,2.0,0
46.0,37.9,5.2,Московский район,4,9,кирпич,1975,4599000,2.0,0
60.5,42.9,6.0,Канавинский район,2,5,кирпич,1970,5800000,3.0,0
56.1,42.0,5.9,Нижегородский район,3,5,кирпич,1964,6900000,3.0,0
37.3,13.8,12.3,Другой,14,19,панель,2027,5408500,1.0,1
62.1,26.4,23.4,Автозаводский район,3,8,монолитный железобетон,2026,10013377,2.0,1
33.0,17.5,6.5,Сормовский район,3,5,панель,1972,3250000,1.0,0
57.4,22.9,12.9,Другой,10,19,панель,2027,7493226,2.0,1
84.4,56.2,8.0,Московский район,2,3,шлакоблок,1950,6900000,3.0,0
51.8,35.1,5.8,Нижегородский район,3,5,кирпич,1976,5450000,3.0,0
41.6,20.0,20.3,Другой,1,1,кирпич,2023,3525885,1.0,0
83.0,44.5,20.46,Другой,10,12,монолитный железобетон,2024,8900007,3.0,1
63.3,38.2,9.4,Нижегородский район,1,9,панель,1983,7250000,3.0,0
41.0,19.1,8.8,Сормовский район,10,10,кирпич,2014,6150000,1.0,0
38.6,27.2,5.0,Автозаводский район,3,3,шлакоблок,1959,4200000,2.0,0
60.0,39.0,7.0,Сормовский район,7,9,панель,1984,7250000,3.0,0
43.1,30.6,6.0,Ленинский район,5,5,кирпич,1963,5200000,2.0,0
39.4,12.0,17.6,Нижегородский район,13,24,блок+утеплитель,2023,8900000,1.0,0
30.6,16.5,5.7,Советский район,4,5,кирпич,1967,6000000,1.0,0
56.3,33.0,9.0,Нижегородский район,4,4,кирпич,1971,8120000,3.0,0
44.7,28.0,6.1,Другой,1,5,панель,1975,2900000,2.0,0
43.3,29.6,5.6,Другой,3,5,панель,1993,3250000,2.0,0
38.2,27.0,5.0,Советский район,1,2,кирпич,1964,3470000,2.0,0
32.9,13.1,11.4,Сормовский район,4,9,кирпич,1982,3800000,1.0,0
72.0,45.6,6.8,Автозаводский район,6,9,кирпич,1975,7480000,4.0,0
24.7,15.0,6.1,Другой,22,25,монолитный железобетон,2025,3952000,1.0,1
39.8,25.6,5.2,Московский район,9,9,кирпич,1972,4100000,2.0,0
30.0,12.9,6.8,Автозаводский район,4,9,кирпич,1984,4099999,1.0,0
62.8,43.4,7.0,Другой,4,5,панель,1991,3500000,3.0,0
50.2,29.2,9.1,Канавинский район,3,9,панель,1983,6790000,2.0,0
40.7,20.0,14.0,Нижегородский район,6,10,кирпич,2003,7200000,1.0,0
62.4,22.2,16.2,Другой,6,23,панель,2020,7850000,2.0,0
47.0,14.1,22.0,Автозаводский район,6,8,монолитный железобетон,2026,7939005,1.0,1
37.5,18.7,10.8,Ленинский район,6,14,панель,2024,7200000,1.0,1
55.7,26.9,12.5,Автозаводский район,3,8,монолитный железобетон,2026,9159030,2.0,1
18.6,12.0,2.0,Другой,1,19,панель,2017,3150000,1.0,0
94.0,50.0,19.9,Другой,10,19,панель,2027,9661414,4.0,1
100.7,65.8,13.7,Другой,4,6,кирпич,2005,9000000,3.0,0
35.0,17.9,8.5,Приокский район,5,10,кирпич,2009,5500000,1.0,0
47.7,20.5,12.1,Другой,20,25,панель,2025,6630014,2.0,1
82.0,37.0,21.0,Другой,14,25,монолитный железобетон,2024,9322498,3.0,1
43.0,35.0,6.1,Канавинский район,1,5,кирпич,1967,4500000,2.0,0
45.5,28.0,7.0,Канавинский район,9,9,панель,1978,6500000,2.0,0
39.0,13.5,11.7,Другой,9,25,монолитный железобетон,2026,4602000,1.0,1
33.3,17.1,8.3,Канавинский район,9,9,панель,1983,5350000,1.0,0
39.3,13.3,13.9,Другой,25,25,монолитный железобетон,2024,4912500,1.0,1
54.0,34.0,7.8,Нижегородский район,8,9,кирпич,1977,9450000,2.0,0
73.0,45.0,9.0,Другой,3,3,кирпич,2021,7400000,3.0,0
17.2,11.4,1.0,Сормовский район,3,10,панель,2020,3550000,0.5,0
35.2,17.2,8.1,Приокский район,4,9,панель,1986,6950000,1.0,0
48.0,31.0,7.4,Сормовский район,7,9,панель,1980,5799000,2.0,0
21.1,6.8,6.5,Другой,19,25,панель,2026,3861300,1.0,1
31.6,19.0,5.3,Ленинский район,5,5,панель,1966,3800000,1.0,0
41.98,18.06,9.52,Автозаводский район,6,10,панель,2014,6100000,1.0,0
48.7,20.8,12.3,Другой,22,25,панель,2017,5795300,2.0,0
62.2,43.7,7.1,Нижегородский район,4,9,панель,1977,8400000,3.0,0
32.2,8.9,12.3,Другой,6,19,монолитный железобетон,2026,4475800,1.0,1
65.6,38.9,9.5,Канавинский район,2,9,панель,1993,7990000,3.0,0
34.8,18.7,7.0,Московский район,6,9,кирпич,1971,4200000,1.0,0
42.0,27.83,5.49,Другой,5,5,панель,1971,3150000,2.0,0
62.7,42.6,5.8,Автозаводский район,2,9,панель,1980,7200000,3.0,0
33.0,18.0,8.0,Нижегородский район,9,9,панель,1987,5400000,1.0,0
36.8,9.64,17.36,Советский район,5,19,панель,2023,9052800,1.0,0
54.7,30.5,8.2,Сормовский район,1,10,панель,2017,7500000,2.0,0
31.0,22.0,4.4,Канавинский район,3,5,кирпич,1960,4700000,2.0,0
49.3,27.1,8.5,Другой,2,3,монолитный железобетон,2018,5200000,2.0,0
51.2,23.9,13.3,Канавинский район,15,19,блок+утеплитель,2007,8500000,1.0,0
30.8,18.0,1.0,Другой,5,14,блок+утеплитель,2017,4400000,0.5,0
62.0,30.0,30.0,Нижегородский район,1,4,кирпич,1971,3950000,1.0,0
54.6,30.2,9.6,Ленинский район,2,10,кирпич,2006,7300000,2.0,0
50.65,10.0,17.0,Приокский район,14,16,панель,2023,6450024,1.0,0
48.3,28.5,8.0,Советский район,5,9,кирпич,1982,9500000,2.0,0
57.3,41.4,5.2,Сормовский район,1,5,панель,1963,5700000,3.0,0
42.18,18.87,10.26,Ленинский район,10,14,монолитный железобетон,2024,8225100,2.0,1
