rooms,area1,area2,area3,district,floor,total_floors,building_type,year,additional_info,price
2,42.6,30.0,5.2,Московский район,6,6,кирпич,1966,хрущ.,3750000
1,34.4,18.0,10.0,Новинский сельсовет,3,3,блок+утеплитель,2014,undefind,4200000
2,52.6,29.8,8.5,Автозаводский район,1,10,панель,1999,undefind,5700000
1,31.5,18.9,5.4,Советский район,5,5,панель,1966,брежн.,4500000
1,34.5,17.2,10.4,Сормовский район,4,9,панель,1975,undefind,4999999
3,57.4,39.9,7.0,Автозаводский район,6,9,панель,1971,undefind,6600000
1,29.4,17.5,5.9,пос. Ждановский,1,4,кирпич,,брежн.,2600000
3,62.0,44.0,7.2,Сормовский район,8,9,панель,1968,undefind,6900000
2,45.4,29.7,6.0,Нижегородский район,5,5,кирпич,1972,хрущ.,7400000
2,40.0,27.0,5.6,Ленинский район,2,5,кирпич,1961,хрущ.,4600000
2,46.7,29.3,6.0,Приокский район,1,5,кирпич,1971,хрущ.,5000000
1,26.0,18.0,6.0,Канавинский район,5,5,кирпич,1961,хрущ.,4400000
3,48.9,33.8,6.0,Сормовский район,4,5,панель,1974,брежн.,4950000
2,41.1,26.7,6.0,Советский район,3,9,кирпич,1975,undefind,7950000
3,54.5,38.0,7.0,Сормовский район,3,9,панель,1978,undefind,5200000
2,40.0,23.1,6.0,Сормовский район,5,5,панель,1972,брежн.,4500000
1,35.6,17.1,15.6,г. Балахна,1,2,кирпич,1940,undefind,1800000
2,47.7,30.9,7.1,Автозаводский район,6,9,панель,1971,undefind,4750000
4,79.0,55.0,13.0,Сормовский район,5,9,панель,1977,undefind,8900000
4,100.9,61.4,10.0,Сормовский район,1,5,кирпич,1995,undefind,8100000
1,32.0,19.2,5.6,Московский район,1,4,кирпич,1961,хрущ.,3700000
3,63.3,43.4,7.1,Сормовский район,9,9,панель,1973,undefind,6100000
2,43.0,35.0,7.0,Канавинский район,4,5,кирпич,1962,хрущ.,6500000
2,40.0,27.0,6.0,Автозаводский район,1,5,кирпич,1966,хрущ.,5100000
2,49.0,30.0,7.3,Сормовский район,4,5,кирпич,1985,хрущ.,4500000
1,38.7,21.8,10.1,г. Бор,2,3,кирпич,2023,undefind,3500000
2,50.9,34.4,6.0,Московский район,3,5,панель,1979,брежн.,4350000
2,49.9,35.0,6.0,г. Выкса,5,5,кирпич,,undefind,4500000
2,49.7,29.0,9.0,г. Выкса,3,9,панель,,undefind,6700000
3,62.5,46.5,6.0,г. Бор,3,5,панель,,undefind,4700000
2,42.7,32.0,6.0,г. Бор,1,3,кирпич,1960,undefind,4100000
3,64.2,43.6,7.6,г. Бор,2,4,кирпич,1957,undefind,5100000
2,46.3,29.4,6.2,г. Бор,3,5,панель,,undefind,5200000
1,31.2,12.3,8.4,г. Кстово,4,4,блок+утеплитель,2018,undefind,3600000
2,40.0,26.0,6.0,г. Кстово,5,5,кирпич,1968,брежн.,3050000
1,45.5,24.5,10.9,г. Арзамас,3,5,панель,1978,брежн.,6300000
3,49.4,34.1,5.9,г. Бор,2,5,панель,,undefind,4500000
2,44.7,29.0,7.0,"дер. Кузнецово, Кузнецовский сельсовет",3,5,кирпич,,хрущ.,2200000
2,41.4,23.9,5.6,Нижегородский район,3,3,кирпич,,хрущ.,3600000
3,54.5,39.0,6.0,Советский район,3,5,кирпич,1965,хрущ.,6300000
3,52.0,38.0,8.2,Нижегородский район,3,3,кирпич,1959,стал.,6600000
3,67.8,38.6,9.4,Канавинский район,2,9,панель,1982,undefind,7200000
3,57.8,39.7,7.0,Канавинский район,9,9,панель,1979,undefind,7400000
1,31.5,15.0,10.0,Новинский сельсовет,2,3,блок+утеплитель,,undefind,3500000
1,20.0,12.0,4.8,Автозаводский район,1,9,кирпич,1987,малогабар.,2600000
2,47.0,28.0,8.0,Канавинский район,8,9,панель,1982,undefind,5800000
1,44.0,18.0,11.0,Советский район,8,10,блок+утеплитель,2022,undefind,6750000
2,46.0,31.0,6.0,г. Дзержинск,2,5,панель,1969,хрущ.,4300000
2,54.0,36.0,7.0,г. Дзержинск,2,3,кирпич,1952,стал.,4150000
3,57.6,39.0,7.0,г. Дзержинск,1,9,кирпич,1974,undefind,4900000
1,31.5,16.0,8.0,г. Дзержинск,4,5,панель,1983,undefind,2999999
